ジャンル,ジャンル内順,略称,チーム名,カンファレンス,地区,2025年成績,プレーオフ結果,パワーランキング_2026,SB優勝オッズ,得点順位_2025,失点順位_2025,SB制覇回数,最終制覇シーズン,開幕先発QB,推し文句
攻撃型,1,LAR,ロサンゼルス・ラムズ,NFC,NFC West,12勝5敗,カンファレンス決勝敗退,1,+500,1,10,2,2021,Matthew Stafford,得点リーグ1位30.5点。パス王スタッフォード(4707yd/46TD)にサック王ギャレット加入で優勝オッズ+500の本命
攻撃型,2,NE,ニューイングランド・ペイトリオッツ,AFC,AFC East,14勝3敗,スーパーボウル敗退（準優勝）,6,+1800,2,4,6,2018,Drake Maye,得点2位。24歳ドレイク・メイにA.J.ブラウン加入。2025年SB準優勝
攻撃型,3,BUF,バッファロー・ビルズ,AFC,AFC East,12勝5敗,ディビジョナル敗退,3,+1000,4,12,0,未制覇,Josh Allen,得点4位かつラン1位159.6yd。MVPオッズ1番人気ジョシュ・アレン
攻撃型,4,DET,デトロイト・ライオンズ,NFC,NFC North,9勝8敗,プレーオフ進出なし,11,+1900,5,22,0,未制覇,Jared Goff,得点5位/失点22位。止まらない攻撃と穴のある守備で毎試合が撃ち合い
攻撃型,5,DAL,ダラス・カウボーイズ,NFC,NFC East,7勝9敗1分,プレーオフ進出なし,15,+2500,7,32,5,1995,Dak Prescott,得点7位だが失点はリーグ最下位32位。守る気のない打ち合い専門
攻撃型,6,IND,インディアナポリス・コルツ,AFC,AFC South,8勝9敗,プレーオフ進出なし,19,+6000,8,20,2,2006,Daniel Jones,得点8位。ラン王ジョナサン・テイラー(1585yd/18TD)が地上を制圧
攻撃型,7,CIN,シンシナティ・ベンガルズ,AFC,AFC North,6勝11敗,プレーオフ進出なし,16,+1800,12,30,0,未制覇,Joe Burrow,得点12位/失点30位。バーロウ&チェイス(1412yd)で撃ち勝つしかない構造
守備型,1,SEA,シアトル・シーホークス,NFC,NFC West,14勝3敗,スーパーボウル制覇,2,+1200,3,1,2,2025,Sam Darnold,失点リーグ最少17.2点。この守備で2025年スーパーボウル制覇
守備型,2,HOU,ヒューストン・テキサンズ,AFC,AFC South,12勝5敗,ディビジョナル敗退,10,+1800,13,2,0,未制覇,C.J. Stroud,失点2位、ターンオーバー奪取3位29回。ボールを奪って勝つ
守備型,3,DEN,デンバー・ブロンコス,AFC,AFC West,14勝3敗,カンファレンス決勝敗退,4,+2000,14,3,3,2015,Bo Nix,サック68でリーグ断トツ1位(2位は57)。QBを潰すだけで勝つ
守備型,4,PHI,フィラデルフィア・イーグルス,NFC,NFC East,11勝6敗,ワイルドカード敗退,5,+1700,19,5,2,2024,Jalen Hurts,失点5位。グリーナード加入でパスラッシュを更に強化
守備型,5,MIN,ミネソタ・バイキングス,NFC,NFC North,9勝8敗,プレーオフ進出なし,22,+5000,26,7,0,未制覇,Kyler Murray,失点7位に対し得点26位。極端に守備へ振り切った構成
守備型,6,LAC,ロサンゼルス・チャージャーズ,AFC,AFC West,11勝6敗,ワイルドカード敗退,14,+1700,20,9,0,未制覇,Justin Herbert,失点9位。ハーバー体制で守備を積み上げ11勝
守備型,7,CLE,クリーブランド・ブラウンズ,AFC,AFC North,5勝12敗,プレーオフ進出なし,31,+20000,31,14,0,未制覇,Deshaun Watson,守備14位に対し攻撃31位。守備だけで試合を作る最も歪んだチーム
スター・ドラマ性,1,BAL,ボルチモア・レイブンズ,AFC,AFC North,8勝9敗,プレーオフ進出なし,8,+1000,11,18,2,2012,Lamar Jackson,ラマー・ジャクソン(MVPオッズ2番人気)とヘンリー(ラン1595yd)。18年率いたハーボーが退団し新HC体制
スター・ドラマ性,2,KC,カンザスシティ・チーフス,AFC,AFC West,6勝11敗,プレーオフ進出なし,13,+1600,21,6,4,2023,Patrick Mahomes,マホームズ在籍のまま2025年は6勝11敗。SB4回の王朝が崩れた翌年の再起
スター・ドラマ性,3,PIT,ピッツバーグ・スティーラーズ,AFC,AFC North,10勝7敗,ワイルドカード敗退,21,+5000,15,17,6,2008,Aaron Rodgers,42歳アーロン・ロジャース。18年のトムリン体制が終わりマッカーシー就任
スター・ドラマ性,4,NYG,ニューヨーク・ジャイアンツ,NFC,NFC East,4勝13敗,プレーオフ進出なし,24,+7000,17,26,4,2011,Jaxson Dart,レイブンズを18年率いたジョン・ハーボーが電撃就任。23歳ダートと再出発
スター・ドラマ性,5,ATL,アトランタ・ファルコンズ,NFC,NFC South,8勝9敗,プレーオフ進出なし,26,+13000,24,19,0,未制覇,Tua Tagovailoa,トゥア加入直後にペニックスがACL断裂。開幕QBが入れ替わる混乱
スター・ドラマ性,6,LV,ラスベガス・レイダース,AFC,AFC West,3勝14敗,プレーオフ進出なし,27,+15000,32,25,3,1983,Kirk Cousins,ドラフト全体1位QBメンドーサとカズンズ。新HCクビアクはCOYオッズ2番人気
伝統,1,SF,サンフランシスコ・フォーティナイナーズ,NFC,NFC West,12勝5敗,ディビジョナル敗退,9,+1900,10,13,5,1994,Brock Purdy,SB5回。ただし最後の制覇は1994年で30年以上遠ざかる。シャナハン10年目
伝統,2,GB,グリーンベイ・パッカーズ,NFC,NFC North,9勝7敗1分,ワイルドカード敗退,7,+2000,16,11,4,2010,Jordan Love,SB4回。1919年創設のリーグ最古参で市民が株主。ミカ・パーソンズ在籍
伝統,3,WSH,ワシントン・コマンダーズ,NFC,NFC East,5勝12敗,プレーオフ進出なし,20,+6000,23,27,3,1991,Jayden Daniels,SB3回(最終1991年)。1932年創設の古豪をジェイデン・ダニエルズが再建
